Index,ExifAttribute
a),species
b),bionet_species
c),sample_period_start/end/last_image
d),demography
da),male_yearling
db),yearling
dc),adult_unknown_sex
de),yearling_unknown_sex
di),juvenile
dj),male_unknown_age
dk),female_unknown_age
dl),unknown_sex_and_age
e),second_species
f),second_species_demography
fa),second_species_male_yearling
fb),second_species_Yearling
fc),second_species_adult_unknown_sex
fe),second_species_yearling_unknown_sex
fi),second_species_juvenile
fj),second_species_male_unknown_age
fk),second_species_female_unknown_age
fl),second_species_unknown_sex_and_age
g),third_species/group
h),third_species_demography
ha),third_species_male_yearling
hb),third_species_Yearling
hc),third_species_adult_unknown_sex
he),third_species_yearling_unknown_sex
hi),third_species_juvenile
hj),third_species_male_unknown_age
hk),third_species_female_unknown_age
hl),third_species_unknown_sex_and_age
k),keep
m),mark
n),number/new_detection
o),second_species_number/outside_6m
p),third_species_number
u),unidentifiable
