SiteCode,lat,long,Site,Camera_Tra,Notes,Easting,Northing,
CamMC3,-23.68556,138.43749,Main Camp North,Camera R10,Reconynx PC800,238675.583,7378237.032,54k
CamMC4,-23.65327,138.41832,Main Camp North,Camera R27,Reconynx PC800,241664.2045,7372482.452,54k
CamMC2,-23.76552,138.47945,Main Camp South,Camera R12,Reconynx PC800,243113.4529,7369455.163,54k
CamMC1,-23.79819,138.47088,Main Camp South,Camera R03,Reconynx PC800,242304.1076,7365820.319,54k
CamFRS1,-23.8341,138.07352,Field River South,Camera R16,Reconynx PC800,201876.3448,7361062.317,54k
CamFRS2,-23.88321,138.09997,Field River South,Camera R19,Reconynx PC800,204683.9078,7355675.979,54k
CamFRN2,-23.77034,138.02897,Field River North,Camera R30, Reconynx PC800,197187.2559,7368033.177,54k
CamFRN1,-23.739,138.00802,Field River North,Camera R20,Reconynx PC800,194977.5586,7371461.204,54k
CamSS1,-23.819861,138.387167,South Site,Camera R13,Reconynx PC800,233814.7414,7363264.784,54k
CamSS2,-23.845083,138.400833,South Site,Camera R09,Reconynx PC800,235258.8854,7360496.073,54k
CamKSE2,-23.36711,138.24206,Kunnamuka Swamp,Camera R06,Reconynx PC800,218057.0744,7413147.563,54k
CamKSE1,-23.33241,138.24821,Kunnamuka Swamp,Camera R02,Reconynx PC800,218595.7834,7416988.238,54k
CamCS1,-23.47014,138.57078,Carlo,Camera R22,Reconynx PC800,251869.2432,7402338.519,54k
CamNB1,-23.34234,138.32144,Norries Bore,Camera R18,Reconynx PC800,226125.3008,7416044.679,54k
CamNB2,-23.30034,138.29818,Norries Bore,Camera R17,Reconynx PC800,223658.8911,7420653.531,54k
CamNo31,-23.35114,138.51021,No. 3 Bore,Camera R24,Reconynx PC800,245451.9752,7415415.161,54k
CamNo32,-23.32012,138.42894,No. 3 Bore,Camera R23,Reconynx PC800,237078.2793,7418705.993,54k
CamSh1,-23.64692,138.304,Shitty Site,Camera R14,Reconynx PC800,224974.6879,7382266.81,54k
CamSh2,-23.69388,138.31565,Shitty Site,Camera R11,Reconynx PC800,226261.6612,7377086.421,54k
CamTBE2,-23.44223,137.98209,Tobermorrey East,Camera R54,Reconynx PC800,191638.5539,7404291.337,54k
CamTBE1,-23.40384,137.9989,Tobermorrey East,Camera R07,Reconynx PC800,193268.5788,7408581.292,54k
CamTBW2,-23.5065,137.88414,Tobermorrey West,Camera R28,Reconynx PC800,181778.059,7396955.533,54k
CamTBW1,-23.48306,137.93643,Tobermorrey West,Camera R29,Reconynx PC800,187067,7399668,53k
CamCS2,-23.52045804,138.5552308,Carlo,Camera R21,Reconynx PC800,250375.22,7396737.56,54k
CamPP1,-23.18855,138.3804,Plum Pudding,Camera R15,Reconynx PC800,231848.82,7433192.66,54k
CamCP2,-23.2199,138.26893,Cravens Peak,Camera R25,Reconynx PC800,220497.77,7429509.35,54k
CamPP2,-23.21780354,138.4662407,Plum Pudding,Camera R08,Reconynx PC800,240696.34,7430107.75,54k
CamCP1,-23.234,138.262,Cravens Peak,Camera R05,Reconynx PC800,219817.63,7427933.84,54k
